custom_role,cert_key,cert_name,tier,url,page_title,meta_description
Software Engineer,associate_cloud_engineer,Associate Cloud Engineer,associate,https://cloud.google.com/learn/certification/cloud-engineer/,Associate Cloud Engineer,"Associate Cloud Engineers deploy apps, monitor operations, &amp; manage enterprise solutions. Learn about the certification &amp; prepare for the exam."
Software Engineer,professional_cloud_developer,Professional Cloud Developer,professional,https://cloud.google.com/learn/certification/cloud-developer,Professional Cloud Developer,"Professional Cloud Developers build scalable cloud-native applications and next generation databases, runtime environments, &amp; developer tools."
Software Engineer,professional_cloud_architect,Professional Cloud Architect,professional,https://cloud.google.com/learn/certification/cloud-architect,Professional Cloud Architect,"A Google Certified Professional - Cloud Architect designs, develops, and manages solutions on Google Cloud. Prepare for the exam."
Backend Engineer,professional_cloud_developer,Professional Cloud Developer,professional,https://cloud.google.com/learn/certification/cloud-developer,Professional Cloud Developer,"Professional Cloud Developers build scalable cloud-native applications and next generation databases, runtime environments, &amp; developer tools."
Backend Engineer,professional_cloud_architect,Professional Cloud Architect,professional,https://cloud.google.com/learn/certification/cloud-architect,Professional Cloud Architect,"A Google Certified Professional - Cloud Architect designs, develops, and manages solutions on Google Cloud. Prepare for the exam."
Backend Engineer,associate_cloud_engineer,Associate Cloud Engineer,associate,https://cloud.google.com/learn/certification/cloud-engineer/,Associate Cloud Engineer,"Associate Cloud Engineers deploy apps, monitor operations, &amp; manage enterprise solutions. Learn about the certification &amp; prepare for the exam."
Frontend Engineer,professional_cloud_developer,Professional Cloud Developer,professional,https://cloud.google.com/learn/certification/cloud-developer,Professional Cloud Developer,"Professional Cloud Developers build scalable cloud-native applications and next generation databases, runtime environments, &amp; developer tools."
Frontend Engineer,associate_cloud_engineer,Associate Cloud Engineer,associate,https://cloud.google.com/learn/certification/cloud-engineer/,Associate Cloud Engineer,"Associate Cloud Engineers deploy apps, monitor operations, &amp; manage enterprise solutions. Learn about the certification &amp; prepare for the exam."
Frontend Engineer,cloud_digital_leader,Cloud Digital Leader,foundational,https://cloud.google.com/learn/certification/cloud-digital-leader/,Cloud Digital Leader,"Get certified as a Cloud Digital Leader to validate your expertise of cloud fundamentals, Google Cloud products &amp; services, &amp; business leadership."
Full-Stack Engineer,professional_cloud_developer,Professional Cloud Developer,professional,https://cloud.google.com/learn/certification/cloud-developer,Professional Cloud Developer,"Professional Cloud Developers build scalable cloud-native applications and next generation databases, runtime environments, &amp; developer tools."
Full-Stack Engineer,professional_cloud_architect,Professional Cloud Architect,professional,https://cloud.google.com/learn/certification/cloud-architect,Professional Cloud Architect,"A Google Certified Professional - Cloud Architect designs, develops, and manages solutions on Google Cloud. Prepare for the exam."
Full-Stack Engineer,associate_cloud_engineer,Associate Cloud Engineer,associate,https://cloud.google.com/learn/certification/cloud-engineer/,Associate Cloud Engineer,"Associate Cloud Engineers deploy apps, monitor operations, &amp; manage enterprise solutions. Learn about the certification &amp; prepare for the exam."
