name,description,query,id,parentId,isFolder
SkillGraph,,,0,,true
Constraints,,"CREATE CONSTRAINT onet_occ_soc_code IF NOT EXISTS
FOR (o:OnetOccupation)
REQUIRE o.soc_code IS UNIQUE;

CREATE CONSTRAINT esco_occ_uri IF NOT EXISTS
FOR (e:EscoOccupation)
REQUIRE e.esco_occ_uri IS UNIQUE;

CREATE CONSTRAINT esco_skill_uri IF NOT EXISTS
FOR (s:EscoSkill)
REQUIRE s.esco_skill_uri IS UNIQUE;

CREATE CONSTRAINT skill_category_uri IF NOT EXISTS
FOR (c:SkillCategory)
REQUIRE c.category_uri IS UNIQUE;",1,0,false
ONET occupations,,"LOAD CSV WITH HEADERS FROM 'file:///onet_occupations_tech_clean.csv' AS row
MERGE (o:OnetOccupation {soc_code: row.soc_code})
SET o.title = row.title;",2,0,false
ESCO occupations,,"LOAD CSV WITH HEADERS FROM 'file:///esco_occupations_tech_clean.csv' AS row
MERGE (e:EscoOccupation {esco_occ_uri: row.esco_occ_uri})
SET
  e.label = row.label,
  e.description = row.description,
  e.isco_group = row.isco_group,
  e.code = row.code;",3,0,false
ONET-ESCO crosswalk,,"LOAD CSV WITH HEADERS FROM 'file:///onet_esco_occ_crosswalk_tech_clean.csv' AS row
MATCH (o:OnetOccupation {soc_code: row.soc_code})
MATCH (e:EscoOccupation {esco_occ_uri: row.esco_occ_uri})
MERGE (o)-[r:CROSSWALK_TO]->(e)
SET r.match_type = row.match_type;",4,0,false
ESCO skills,,"LOAD CSV WITH HEADERS FROM 'file:///final_esco_skills_tech.csv' AS row
MERGE (s:EscoSkill {esco_skill_uri: row.esco_skill_uri})
SET
  s.label = row.label,
  s.skill_alternative_label = row.skill_alternative_label,
  s.skill_type = row.skill_type,
  s.is_digital = row.is_digital,
  s.is_transversal = row.is_transversal,
  s.is_digcomp = row.is_digcomp;",5,0,false
Skill categories,,"LOAD CSV WITH HEADERS FROM 'file:///final_skill_categories_tech.csv' AS row
MERGE (c:SkillCategory {category_uri: row.category_uri})
SET
  c.name = row.name,
  c.code = row.code,
  c.level = toInteger(row.level),
  c.parent_uri = row.parent_uri,
  c.parent_name = row.parent_name;",6,0,false
Category hierarchy,,"LOAD CSV WITH HEADERS FROM 'file:///final_skill_category_edges_tech.csv' AS row
MATCH (child:SkillCategory {category_uri: row.child_category_uri})
MATCH (parent:SkillCategory {category_uri: row.parent_category_uri})
MERGE (child)-[:SUBCATEGORY_OF]->(parent);",7,0,false
ESCO occ-skill,,"LOAD CSV WITH HEADERS FROM 'file:///final_esco_occ_requires_skill_tech.csv' AS row
MATCH (e:EscoOccupation {esco_occ_uri: row.esco_occ_uri})
MATCH (s:EscoSkill {esco_skill_uri: row.esco_skill_uri})
MERGE (e)-[r:REQUIRES_ESCO_SKILL]->(s)
SET
  r.relation_type = row.relation_type,
  r.skill_type_in_occ = row.skill_type_in_occ;",8,0,false
Sanity1-counts,,"MATCH (n) RETURN labels(n) AS labels, count(*) AS count;",9,0,false
Sanity2,,"MATCH (o:OnetOccupation)-[:CROSSWALK_TO]->(e:EscoOccupation)-[:REQUIRES_ESCO_SKILL]->(s:EscoSkill)
RETURN o.title, e.label, s.label
LIMIT 25;",10,0,false
Sanity3-Skillcat_counts,,"MATCH (c:SkillCategory)
RETURN c.level, count(*) AS count
ORDER BY c.level;",11,0,false
lvl0 skill cat link,,"LOAD CSV WITH HEADERS FROM 'file:///final_esco_master_tech.csv' AS row
WITH row
WHERE row.skill_uri IS NOT NULL AND trim(row.skill_uri) <> ''
  AND row.skill_l0_uri IS NOT NULL AND trim(row.skill_l0_uri) <> ''
MATCH (s:EscoSkill {esco_skill_uri: row.skill_uri})
MERGE (c0:SkillCategory {category_uri: row.skill_l0_uri})
SET
  c0.name = coalesce(c0.name, row.skill_l0_label),
  c0.code = coalesce(c0.code, row.skill_l0_code),
  c0.level = 0
MERGE (s)-[:IN_CATEGORY]->(c0);",12,0,false
lvl1 skill cat link,,"LOAD CSV WITH HEADERS FROM 'file:///final_esco_master_tech.csv' AS row
WITH row
WHERE row.skill_uri IS NOT NULL AND trim(row.skill_uri) <> ''
  AND row.skill_l1_uri IS NOT NULL AND trim(row.skill_l1_uri) <> ''
MATCH (s:EscoSkill {esco_skill_uri: row.skill_uri})
MERGE (c1:SkillCategory {category_uri: row.skill_l1_uri})
SET
  c1.name = coalesce(c1.name, row.skill_l1_label),
  c1.code = coalesce(c1.code, row.skill_l1_code),
  c1.level = 1
MERGE (s)-[:IN_CATEGORY]->(c1);",13,0,false
CustomRole constraints,,"CREATE CONSTRAINT custom_role_id IF NOT EXISTS
FOR (r:CustomRole)
REQUIRE r.role_id IS UNIQUE;

CREATE CONSTRAINT role_family_name IF NOT EXISTS
FOR (f:RoleFamily)
REQUIRE f.name IS UNIQUE;",14,0,false
CustomRole Nodes,,"LOAD CSV WITH HEADERS FROM 'file:///custom_roles.csv' AS row
MERGE (r:CustomRole {role_id: row.role_id})
SET
  r.role_title = row.role_title,
  r.family = row.family,
  r.seniority = row.seniority,
  r.description = row.description,
  r.aliases = row.aliases,
  r.source = row.source;",15,0,false
CustomRole RoleFamily,,"LOAD CSV WITH HEADERS FROM 'file:///custom_roles.csv' AS row
WITH row
WHERE row.family IS NOT NULL AND trim(row.family) <> ''
MERGE (f:RoleFamily {name: row.family})
WITH row, f
MATCH (r:CustomRole {role_id: row.role_id})
MERGE (r)-[:IN_FAMILY]->(f);",16,0,false
CustomRole-ESCO occ mapping,,"LOAD CSV WITH HEADERS FROM 'file:///custom_role_esco_map.csv' AS row
WITH row
WHERE row.role_id IS NOT NULL AND trim(row.role_id) <> ''
  AND row.esco_occ_uri IS NOT NULL AND trim(row.esco_occ_uri) <> ''
MATCH (r:CustomRole {role_id: row.role_id})
MATCH (e:EscoOccupation {esco_occ_uri: row.esco_occ_uri})
MERGE (r)-[m:MAPS_TO]->(e)
SET
  m.confidence = toFloat(row.confidence),
  m.match_type = row.match_type,
  m.reason = row.reason,
  m.esco_occ_label = row.esco_occ_label;",17,0,false
Visualize end-to-end,,"MATCH (r:CustomRole {role_id: $role_id})-[m:MAPS_TO]->(e:EscoOccupation)
WITH r, e, m
ORDER BY m.confidence DESC
LIMIT 1
MATCH (e)-[rel:REQUIRES_ESCO_SKILL]->(s:EscoSkill)
OPTIONAL MATCH (s)-[:IN_CATEGORY]->(c:SkillCategory)
RETURN DISTINCT r, m, e, rel, s, c
LIMIT 50;",18,0,false
Setting role to visualize,,:param role_id => 'CR01';,19,0,false
Loading L2 and L3 skillCat,,"LOAD CSV WITH HEADERS FROM 'file:///final_skill_categories_specific_l2_l3.csv' AS row
WITH row
WHERE row.category_uri IS NOT NULL AND trim(row.category_uri) <> ''
MERGE (c:SkillCategory {category_uri: row.category_uri})
SET
  c.name = row.name,
  c.code = row.code,
  c.level = toInteger(row.level),
  c.parent_uri = CASE
    WHEN row.parent_uri IS NULL OR trim(row.parent_uri) = '' THEN ''
    ELSE row.parent_uri
  END,
  c.parent_name = CASE
    WHEN row.parent_name IS NULL OR trim(row.parent_name) = '' THEN ''
    ELSE row.parent_name
  END;",20,0,false
"hierarchy edges l3->l2, l2->l1",,"LOAD CSV WITH HEADERS FROM 'file:///final_skill_category_edges_specific_l2_l3.csv' AS row
WITH row
WHERE row.child_category_uri IS NOT NULL AND trim(row.child_category_uri) <> ''
  AND row.parent_category_uri IS NOT NULL AND trim(row.parent_category_uri) <> ''
MATCH (child:SkillCategory {category_uri: row.child_category_uri})
MATCH (parent:SkillCategory {category_uri: row.parent_category_uri})
MERGE (child)-[:SUBCATEGORY_OF]->(parent);",21,0,false
ESCO skill specific cat linking,,"LOAD CSV WITH HEADERS FROM 'file:///final_esco_skill_to_specific_category_l2_l3.csv' AS row
WITH row
WHERE row.esco_skill_uri IS NOT NULL AND trim(row.esco_skill_uri) <> ''
  AND row.category_uri IS NOT NULL AND trim(row.category_uri) <> ''
MATCH (s:EscoSkill {esco_skill_uri: row.esco_skill_uri})
MATCH (c:SkillCategory {category_uri: row.category_uri})
MERGE (s)-[:IN_CATEGORY]->(c);",22,0,false
